epoch, train loss, val loss, train acc, val acc, miou
59, 0.13874, 0.29724, 0.95183, 0.91173, 0.51195
60, 0.14462, 0.28783, 0.95137, 0.91172, 0.52383
61, 0.13530, 0.28709, 0.95408, 0.91444, 0.52994
62, 0.13258, 0.28784, 0.95526, 0.91463, 0.53939
63, 0.13744, 0.30691, 0.95481, 0.91010, 0.53514
64, 0.14958, 0.29875, 0.94974, 0.90761, 0.54104
65, 0.13162, 0.26599, 0.95561, 0.91975, 0.56314
66, 0.12793, 0.27295, 0.95659, 0.91882, 0.55594
67, 0.13045, 0.26073, 0.95574, 0.92058, 0.57329
68, 0.12216, 0.28201, 0.95828, 0.91484, 0.55227
69, 0.13203, 0.28960, 0.95491, 0.91354, 0.52878
70, 0.12656, 0.30692, 0.95722, 0.90427, 0.54278
71, 0.12162, 0.27575, 0.95842, 0.91900, 0.55207
72, 0.11149, 0.27023, 0.96200, 0.91910, 0.55778
73, 0.12346, 0.25671, 0.95804, 0.92201, 0.58667
74, 0.11420, 0.26818, 0.96091, 0.92136, 0.55099
75, 0.11941, 0.26647, 0.95932, 0.92077, 0.56746
76, 0.11523, 0.25562, 0.96060, 0.92432, 0.57492
77, 0.11156, 0.25485, 0.96180, 0.92410, 0.57770
78, 0.11454, 0.24970, 0.96169, 0.92478, 0.57517
79, 0.11432, 0.26043, 0.96128, 0.92152, 0.56943
80, 0.10634, 0.26738, 0.96348, 0.92294, 0.56297
81, 0.11249, 0.29260, 0.96181, 0.91637, 0.53569
82, 0.10735, 0.24512, 0.96327, 0.92411, 0.58060
83, 0.11090, 0.25946, 0.96172, 0.92270, 0.57511
84, 0.10369, 0.26036, 0.96460, 0.92193, 0.56367
85, 0.10900, 0.27058, 0.96247, 0.92115, 0.56416
86, 0.10176, 0.27312, 0.96501, 0.92241, 0.56146
87, 0.10709, 0.26295, 0.96293, 0.92106, 0.57087
88, 0.10785, 0.27117, 0.96294, 0.92294, 0.56116
89, 0.10404, 0.25334, 0.96423, 0.92568, 0.58082
90, 0.09866, 0.25747, 0.96569, 0.92434, 0.56956
91, 0.09742, 0.26493, 0.96629, 0.92426, 0.56470
92, 0.10367, 0.25418, 0.96401, 0.92624, 0.58677
93, 0.10457, 0.26861, 0.96397, 0.92196, 0.56062
94, 0.09343, 0.25874, 0.96774, 0.92478, 0.57230
95, 0.09976, 0.25483, 0.96533, 0.92517, 0.57434
96, 0.09832, 0.26632, 0.96614, 0.92365, 0.56450
97, 0.09827, 0.26316, 0.96570, 0.92401, 0.56978
98, 0.09525, 0.27349, 0.96701, 0.92118, 0.55814
99, 0.09827, 0.26300, 0.96592, 0.92395, 0.56914
100, 0.09460, 0.27195, 0.96689, 0.92365, 0.56113
101, 0.09983, 0.25822, 0.96516, 0.92496, 0.57414
102, 0.09821, 0.26105, 0.96613, 0.92497, 0.57173
103, 0.09642, 0.27108, 0.96688, 0.92266, 0.55195
104, 0.09591, 0.27816, 0.96683, 0.91867, 0.57409
105, 0.09638, 0.27821, 0.96662, 0.92286, 0.56442
106, 0.09460, 0.25909, 0.96728, 0.92604, 0.57692
107, 0.09827, 0.27119, 0.96581, 0.92281, 0.57428
108, 0.09603, 0.27207, 0.96627, 0.92361, 0.56269
109, 0.09303, 0.25799, 0.96742, 0.92582, 0.57832
110, 0.08969, 0.25165, 0.96880, 0.92668, 0.58716
111, 0.08859, 0.27441, 0.96895, 0.92400, 0.55858
112, 0.09373, 0.25381, 0.96722, 0.92670, 0.59043
113, 0.08802, 0.26588, 0.96918, 0.92505, 0.57944
114, 0.08702, 0.26279, 0.96956, 0.92582, 0.56944
115, 0.08457, 0.26813, 0.97038, 0.92638, 0.57124
116, 0.08349, 0.25364, 0.97058, 0.92786, 0.58781
117, 0.08628, 0.25871, 0.96942, 0.92666, 0.58636
118, 0.08772, 0.25960, 0.96898, 0.92755, 0.59119
119, 0.08518, 0.26116, 0.97013, 0.92664, 0.58479
